,Location,Year,Location ISO,Recent Conflict
1863,Somalia,2006,SOM,5
1864,Somalia,2007,SOM,5
1866,Somalia,2009,SOM,5
1867,Somalia,2010,SOM,5
1870,Somalia,2013,SOM,5
1871,Somalia,2014,SOM,5
1872,Somalia,2015,SOM,5
1873,South Africa,1966,ZAF,0
1874,South Africa,1967,ZAF,1
1875,South Africa,1968,ZAF,2
1876,South Africa,1969,ZAF,3
1877,South Africa,1970,ZAF,4
1878,South Africa,1971,ZAF,5
1879,South Africa,1972,ZAF,5
1880,South Africa,1973,ZAF,5
1881,South Africa,1974,ZAF,5
1882,South Africa,1975,ZAF,5
1883,South Africa,1976,ZAF,5
1884,South Africa,1977,ZAF,5
1885,South Africa,1978,ZAF,5
1886,South Africa,1979,ZAF,5
1887,South Africa,1980,ZAF,5
1888,South Africa,1981,ZAF,5
1889,South Africa,1982,ZAF,5
1890,South Africa,1983,ZAF,5
1891,South Africa,1984,ZAF,5
1892,South Africa,1985,ZAF,5
1893,South Africa,1986,ZAF,5
1894,South Africa,1987,ZAF,5
1895,South Africa,1988,ZAF,5
1903,South Sudan,2011,SSD,0
1937,Spain,1978,ESP,0
1938,Spain,1979,ESP,1
1939,Spain,1980,ESP,2
1940,Spain,1981,ESP,3
1941,Spain,1982,ESP,4
1942,Spain,1985,ESP,3
1943,Spain,1986,ESP,3
1944,Spain,1987,ESP,3
1945,Spain,1991,ESP,2
1946,Sri Lanka,1971,LKA,0
1947,Sri Lanka,1984,LKA,0
1948,Sri Lanka,1985,LKA,1
1949,Sri Lanka,1986,LKA,2
1950,Sri Lanka,1987,LKA,3
1951,Sri Lanka,1988,LKA,4
1958,Sri Lanka,1993,LKA,5
1962,Sri Lanka,1997,LKA,5
1966,Sri Lanka,2001,LKA,5
1967,Sri Lanka,2003,LKA,4
1968,Sri Lanka,2005,LKA,4
1973,Sudan,1963,SDN,0
1974,Sudan,1964,SDN,1
1975,Sudan,1965,SDN,2
1976,Sudan,1966,SDN,3
1977,Sudan,1967,SDN,4
1978,Sudan,1968,SDN,5
1979,Sudan,1969,SDN,5
1980,Sudan,1970,SDN,5
1981,Sudan,1971,SDN,5
1982,Sudan,1972,SDN,5
1984,Sudan,1976,SDN,2
1985,Sudan,1983,SDN,0
1986,Sudan,1984,SDN,1
1987,Sudan,1985,SDN,2
1988,Sudan,1986,SDN,3
1989,Sudan,1987,SDN,4
1990,Sudan,1988,SDN,5
2011,Sudan,2009,SDN,5
2014,Sudan,2012,SDN,5
2015,Sudan,2013,SDN,5
2019,Suriname,1987,SUR,0
2037,Tajikistan,1993,TJK,1
2038,Tajikistan,1994,TJK,2
2039,Tajikistan,1995,TJK,3
2040,Tajikistan,1996,TJK,4
2041,Tajikistan,1997,TJK,5
2042,Tajikistan,1998,TJK,5
2043,Tajikistan,2000,TJK,4
2044,Tajikistan,2010,TJK,0
2045,Tajikistan,2011,TJK,1
2047,Thailand,1951,THA,1
2048,Thailand,1974,THA,0
2049,Thailand,1975,THA,1
2050,Thailand,1976,THA,2
2051,Thailand,1977,THA,3
2052,Thailand,1978,THA,4
2053,Thailand,1979,THA,5
2054,Thailand,1980,THA,5
2055,Thailand,1981,THA,5
2056,Thailand,1982,THA,5
2057,Thailand,2003,THA,1
2070,Togo,1986,TGO,0
2071,Trinidad and Tobago,1990,TTO,0
2072,Tunisia,1953,TUN,0
2073,Tunisia,1954,TUN,1
2074,Tunisia,1955,TUN,2
2075,Tunisia,1956,TUN,3
2076,Tunisia,1980,TUN,0
2077,Turkey,1984,TUR,0
2078,Turkey,1985,TUR,1
2079,Turkey,1986,TUR,2
2080,Turkey,1987,TUR,3
2081,Turkey,1988,TUR,4
2088,Turkey,1995,TUR,5
2089,Turkey,1996,TUR,5
2090,Turkey,1997,TUR,5
2091,Turkey,1998,TUR,5
2092,Turkey,1999,TUR,5
2095,Turkey,2000,TUR,5
2096,Turkey,2001,TUR,5
2097,Turkey,2002,TUR,5
2098,Turkey,2003,TUR,5
2099,Turkey,2004,TUR,5
2100,Turkey,2005,TUR,5
2101,Turkey,2006,TUR,5
2102,Turkey,2007,TUR,5
2103,Turkey,2008,TUR,5
2104,Turkey,2009,TUR,5
2105,Turkey,2010,TUR,5
2106,Turkey,2011,TUR,5
2107,Turkey,2012,TUR,5
2108,Turkey,2013,TUR,5
2109,Turkey,2015,TUR,4
2111,Uganda,1971,UGA,0
2112,Uganda,1972,UGA,1
2113,Uganda,1974,UGA,2
2114,Uganda,1979,UGA,2
2115,Uganda,1980,UGA,2
2116,Uganda,1981,UGA,3
2117,Uganda,1982,UGA,4
2118,Uganda,1983,UGA,5
2119,Uganda,1984,UGA,5
2120,Uganda,1985,UGA,5
2121,Uganda,1986,UGA,5
2122,Uganda,1987,UGA,5
2123,Uganda,1988,UGA,5
2127,Uganda,1992,UGA,5
2128,Uganda,1994,UGA,4
2129,Uganda,1995,UGA,4
2135,Uganda,2001,UGA,5
2136,Uganda,2002,UGA,5
2137,Uganda,2003,UGA,5
2138,Uganda,2004,UGA,5
2139,Uganda,2005,UGA,5
2140,Uganda,2006,UGA,5
2141,Uganda,2007,UGA,5
2142,Uganda,2008,UGA,5
2143,Uganda,2009,UGA,5
2144,Uganda,2010,UGA,5
2145,Uganda,2011,UGA,5
2146,Uganda,2013,UGA,4
2147,Uganda,2014,UGA,4
2148,Uganda,2015,UGA,4
2149,Ukraine,2014,UKR,0
2153,Ukraine,2015,UKR,1
2177,Uruguay,1972,URY,0
2178,Uzbekistan,1999,UZB,0
2179,Uzbekistan,2000,UZB,1
2180,Uzbekistan,2004,UZB,2
4,Kenya,1992,KEN,1
5,Kenya,1993,KEN,2
6,Kenya,1994,KEN,3
7,Kenya,1998,KEN,5
10,Guinea,2013,GIN,2
11,Ghana,2000,GHA,1
12,Ghana,2001,GHA,1
13,Ghana,2008,GHA,0
30,Sri Lanka,2004,LKA,4
34,China,2009,CHN,1
42,Bangladesh,2013,BGD,0
45,Pakistan,1989,PAK,2
50,Guatemala,2005,GTM,0
52,Pakistan,1992,PAK,4
53,Pakistan,1993,PAK,4
55,Somalia,2003,SOM,5
62,Egypt,2013,EGY,2
63,Kenya,1997,KEN,5
64,Kenya,2000,KEN,5
67,Kenya,2011,KEN,5
69,Senegal,2006,SEN,3
72,Kenya,2006,KEN,3
124,Brazil,2004,BRA,4
125,Brazil,2009,BRA,2
126,Brazil,1999,BRA,3
127,Brazil,2011,BRA,1
128,Kenya,2013,KEN,5
130,Mexico,2015,MEX,5
134,Mexico,2013,MEX,5
142,Burundi,2007,BDI,5
146,Somalia,2004,SOM,5
171,Somalia,2005,SOM,5
188,Mexico,2004,MEX,1
189,Mexico,2005,MEX,2
190,Mexico,2006,MEX,3
191,Mexico,2007,MEX,4
193,Mexico,2009,MEX,5
244,Nigeria,1991,NGA,1
266,Kenya,1995,KEN,3
267,Kenya,1999,KEN,5
268,Kenya,2005,KEN,3
271,Kenya,2010,KEN,5
273,Kenya,2014,KEN,5
274,Kenya,1996,KEN,4
307,Bangladesh,1993,BGD,5
309,Iraq,2002,IRQ,4
310,Iraq,2003,IRQ,4
313,Cameroon,1998,CMR,3
314,Cameroon,1991,CMR,0
315,Cameroon,1992,CMR,1
316,Cameroon,1993,CMR,2
317,Cameroon,1994,CMR,3
319,Canada,1998,CAN,1
326,Comoros,1998,COM,1
359,Georgia,1998,GEO,3
360,Georgia,1997,GEO,3
361,Ghana,1991,GHA,0
362,Ghana,1992,GHA,1
363,Ghana,1994,GHA,2
364,Ghana,1995,GHA,3
384,Iraq,1997,IRQ,5
387,Iraq,2000,IRQ,5
388,Jamaica,2001,JAM,0
391,Kenya,2001,KEN,5
413,Lebanon,1992,LBN,2
414,Lebanon,1993,LBN,3
415,Lebanon,1994,LBN,4
416,Lebanon,1995,LBN,4
417,Lebanon,1998,LBN,4
418,Lebanon,1999,LBN,4
419,Lebanon,2000,LBN,4
426,Liberia,1992,LBR,3
438,Nigeria,1993,NGA,3
442,Nigeria,1999,NGA,4
446,Nigeria,1997,NGA,4
453,Nigeria,1992,NGA,2
457,Nigeria,1996,NGA,4
468,Pakistan,1997,PAK,5
471,Papua New Guinea,2001,PNG,2
481,Somalia,2000,SOM,5
493,Bangladesh,2001,BGD,4
502,Ghana,2002,GHA,2
512,Somalia,1997,SOM,5
513,Somalia,1998,SOM,5
523,South Africa,1990,ZAF,5
524,South Africa,1996,ZAF,5
525,South Africa,1989,ZAF,5
531,South Africa,1995,ZAF,5
536,South Africa,1998,ZAF,4
610,Mali,1999,MLI,2
623,Nigeria,2006,NGA,5
635,Kyrgyzstan,2010,KGZ,0
649,Papua New Guinea,1999,PNG,3
652,Mexico,2008,MEX,4
657,Brazil,1994,BRA,1
658,Brazil,1995,BRA,2
659,Brazil,1997,BRA,3
660,Brazil,2001,BRA,2
661,Brazil,2002,BRA,3
662,Brazil,2003,BRA,3
675,Nepal,2007,NPL,5
681,Kenya,2012,KEN,5
688,Kenya,1989,KEN,0
698,Mexico,1993,MEX,0
699,Mexico,2002,MEX,1
703,Mexico,2011,MEX,5
705,Mexico,2012,MEX,5
714,Honduras,2010,HND,0
747,Egypt,2011,EGY,0
754,Guinea,2011,GIN,2
789,Nigeria,2007,NGA,5
793,Papua New Guinea,2012,PNG,0
797,Egypt,2012,EGY,1
799,Libya,2012,LBY,1
802,Lebanon,2012,LBN,2
824,Bangladesh,2000,BGD,3
886,Lebanon,2008,LBN,1
888,Ecuador,2003,ECU,0
56,Albania,1946,ALB,0
91,Algeria,1963,DZA,5
147,Argentina,1982,ARG,1
1032,Australia,2003,AUS,0
245,Bangladesh,1994,BGD,5
249,Bangladesh,1998,BGD,3
250,Bangladesh,1999,BGD,3
488,Bhutan,2004,BTN,0
169,Botswana,1990,BWA,0
194,Burkina Faso,1985,BFA,0
797,Cameroon,2014,CMR,1
796,Cameroon,2013,CMR,0
265,Cameroon,1996,CMR,4
582,Central African Republic,2008,CAF,2
692,Chad,2004,TCD,5
324,China,1962,CHN,2
325,China,1967,CHN,1
326,China,1969,CHN,1
330,China,1954,CHN,2
331,China,1958,CHN,2
332,China,1974,CHN,1
333,China,1978,CHN,1
334,China,1979,CHN,2
335,China,1980,CHN,2
336,China,1981,CHN,3
337,China,1983,CHN,4
338,China,1984,CHN,4
339,China,1986,CHN,3
340,China,1987,CHN,3
341,China,1988,CHN,4
415,Cyprus,1974,CYP,0
421,Djibouti,2008,DJI,0
735,Djibouti,2014,DJI,0
450,Ecuador,1995,ECU,0
459,Egypt,1956,EGY,2
460,Egypt,1967,EGY,0
461,Egypt,1969,EGY,1
462,Egypt,1970,EGY,2
463,Egypt,1973,EGY,2
464,Egypt,1951,EGY,2
465,Egypt,1952,EGY,3
480,El Salvador,1969,SLV,0
484,Eritrea,1998,ERI,1
486,Eritrea,2000,ERI,3
610,France,1946,FRA,0
629,Grenada,1983,GRD,0
808,Guatemala,2011,GTM,1
192,Guatemala,2008,GTM,1
722,Guinea,1996,GIN,0
640,Guinea,1998,GIN,1
641,Guinea,1999,GIN,2
682,Honduras,1957,HND,0
683,Hungary,1956,HUN,0
920,Indonesia,1963,IDN,5
921,Indonesia,1964,IDN,5
923,Indonesia,1966,IDN,5
924,Indonesia,1962,IDN,4
430,Iraq,1998,IRQ,5
1109,Israel,1948,ISR,1
223,Kenya,2004,KEN,3
218,Lebanon,2011,LBN,2
605,Liberia,1991,LBR,2
430,Mali,1997,MLI,2
1220,Mauritania,1957,MRT,0
1221,Mauritania,1958,MRT,1
49,Mauritania,1989,MRT,0
697,Mexico,1995,MEX,2
168,Namibia,1989,NAM,0
618,Senegal,1989,SEN,0
345,Bangladesh,2015,BGD,1
697,Canada,1995,CAN,0
797,Chad,2014,TCD,2
490,Djibouti,1995,DJI,4
1109,Egypt,1948,EGY,0
1110,Egypt,1949,EGY,1
421,Eritrea,2008,ERI,1
345,France,2015,FRA,0
459,France,1956,FRA,0
480,Honduras,1969,HND,0
1109,Iraq,1948,IRQ,0
1110,Iraq,1949,IRQ,1
207,Jordan,1992,JOR,0
335,Jordan,2005,JOR,0
1109,Jordan,1948,JOR,0
1110,Jordan,1949,JOR,1
1111,Jordan,1967,JOR,0
345,Kuwait,2015,KWT,0
205,Kuwait,1990,KWT,0
211,Kuwait,1996,KWT,1
1034,Kuwait,1991,KWT,1
1109,Lebanon,1948,LBN,0
1110,Lebanon,1949,LBN,1
227,Lebanon,2006,LBN,0
312,Libya,1987,LBY,0
194,Mali,1985,MLI,0
656,Mauritania,2009,MRT,0
91,Morocco,1963,MAR,1
1220,Morocco,1957,MAR,4
1221,Morocco,1958,MAR,5
243,Myanmar,1991,MMR,5
244,Myanmar,1992,MMR,5
245,Myanmar,1994,MMR,5
247,Myanmar,1996,MMR,5
249,Myanmar,1998,MMR,5
251,Myanmar,2000,MMR,5
250,Myanmar,1999,MMR,5
326,Myanmar,1969,MMR,5
667,Namibia,1994,NAM,1
673,Namibia,2002,NAM,1
671,Namibia,2000,NAM,0
406,Nepal,1991,NPL,0
924,Netherlands,1962,NLD,0
682,Nicaragua,1957,NIC,0
313,Nigeria,1983,NGA,0
379,Pakistan,2005,PAK,5
854,Pakistan,1948,PAK,0
855,Pakistan,1964,PAK,0
856,Pakistan,1965,PAK,1
858,Pakistan,1984,PAK,0
859,Pakistan,1987,PAK,1
862,Pakistan,1991,PAK,3
868,Pakistan,2000,PAK,5
869,Pakistan,2001,PAK,5
870,Pakistan,2002,PAK,5
144,Rwanda,1995,RWA,5
345,Saudi Arabia,2015,SAU,0
858,Serbia,1992,SRB,1
861,Serbia,1995,SRB,2
611,Sierra Leone,2002,SLE,5
604,Somalia,1964,SOM,0
605,Somalia,1977,SOM,0
606,Somalia,1978,SOM,1
607,Somalia,1980,SOM,2
168,Swaziland,1989,SWZ,0
328,Taiwan,1949,TWN,0
329,Taiwan,1950,TWN,1
330,Taiwan,1954,TWN,2
331,Taiwan,1958,TWN,1
250,Thailand,1999,THA,3
610,Thailand,1946,THA,0
1149,Thailand,1986,THA,2
1150,Thailand,1987,THA,2
1151,Thailand,1988,THA,2
246,Thailand,1995,THA,1
248,Thailand,1997,THA,2
436,Thailand,1991,THA,3
840,Thailand,1996,THA,2
345,Tunisia,2015,TUN,0
611,Tunisia,1961,TUN,1
415,Turkey,1974,TUR,0
2046,Uganda,1978,UGA,1
345,Yemen,2015,YEM,5
1935,Yemen,1972,YEM,4
1936,Yemen,1979,YEM,0
671,Zambia,2000,ZMB,0
107,Zambia,1993,ZMB,2
600,Zambia,1989,ZMB,0
601,Zambia,1990,ZMB,1
600,Zimbabwe,1989,ZWE,0
601,Zimbabwe,1990,ZWE,1
282,Cambodia,1993,KHM,5
354,Cambodia,1990,KHM,5
355,Cambodia,1991,KHM,5
356,Cambodia,1992,KHM,5
358,Cambodia,1994,KHM,5
359,Cambodia,1995,KHM,5
360,Cambodia,1996,KHM,5
361,Cambodia,1998,KHM,5
213,Cambodia,1946,KHM,0
214,Cambodia,1947,KHM,1
215,Cambodia,1948,KHM,2
216,Cambodia,1949,KHM,3
217,Cambodia,1950,KHM,4
218,Cambodia,1951,KHM,5
219,Cambodia,1952,KHM,5
220,Cambodia,1953,KHM,5
221,Cambodia,1967,KHM,0
222,Cambodia,1968,KHM,1
223,Cambodia,1969,KHM,2
224,Cambodia,1970,KHM,3
225,Cambodia,1971,KHM,4
226,Cambodia,1972,KHM,5
227,Cambodia,1973,KHM,5
228,Cambodia,1974,KHM,5
229,Cambodia,1975,KHM,5
230,Cambodia,1978,KHM,5
231,Cambodia,1979,KHM,5
232,Cambodia,1980,KHM,5
233,Cambodia,1981,KHM,5
234,Cambodia,1982,KHM,5
235,Cambodia,1983,KHM,5
236,Cambodia,1984,KHM,5
237,Cambodia,1985,KHM,5
238,Cambodia,1986,KHM,5
239,Cambodia,1987,KHM,5
240,Cambodia,1988,KHM,5
241,Cambodia,1989,KHM,5
249,Cambodia,1997,KHM,5
251,Cambodia,1977,KHM,5
253,Cambodia,2011,KHM,0
255,Cambodia,1976,KHM,5
173,Madagascar,2009,MDG,0
1177,Madagascar,1947,MDG,0
1178,Madagascar,1971,MDG,0
617,Madagascar,2002,MDG,0
252,Myanmar,2001,MMR,5
253,Myanmar,2002,MMR,5
254,Myanmar,2003,MMR,5
255,Myanmar,2004,MMR,5
256,Myanmar,2005,MMR,5
257,Myanmar,2006,MMR,5
258,Myanmar,2007,MMR,5
259,Myanmar,2008,MMR,5
260,Myanmar,2010,MMR,5
261,Myanmar,2011,MMR,5
262,Myanmar,2012,MMR,5
263,Myanmar,2013,MMR,5
264,Myanmar,2014,MMR,5
265,Myanmar,2015,MMR,5
1275,Myanmar,1949,MMR,1
1276,Myanmar,1950,MMR,2
1277,Myanmar,1951,MMR,3
1278,Myanmar,1952,MMR,4
1279,Myanmar,1953,MMR,5
1280,Myanmar,1954,MMR,5
1281,Myanmar,1955,MMR,5
1282,Myanmar,1956,MMR,5
1283,Myanmar,1957,MMR,5
1284,Myanmar,1958,MMR,5
1285,Myanmar,1959,MMR,5
1286,Myanmar,1960,MMR,5
1287,Myanmar,1961,MMR,5
1288,Myanmar,1962,MMR,5
1289,Myanmar,1963,MMR,5
1290,Myanmar,1964,MMR,5
1291,Myanmar,1965,MMR,5
1292,Myanmar,1966,MMR,5
1293,Myanmar,1967,MMR,5
1294,Myanmar,1968,MMR,5
1296,Myanmar,1970,MMR,5
1297,Myanmar,1971,MMR,5
1298,Myanmar,1972,MMR,5
1299,Myanmar,1973,MMR,5
1300,Myanmar,1974,MMR,5
1301,Myanmar,1975,MMR,5
1302,Myanmar,1976,MMR,5
1303,Myanmar,1977,MMR,5
1304,Myanmar,1978,MMR,5
1305,Myanmar,1979,MMR,5
1306,Myanmar,1980,MMR,5
1307,Myanmar,1981,MMR,5
1308,Myanmar,1982,MMR,5
1309,Myanmar,1983,MMR,5
1310,Myanmar,1984,MMR,5
1311,Myanmar,1985,MMR,5
1312,Myanmar,1986,MMR,5
1313,Myanmar,1987,MMR,5
1314,Myanmar,1988,MMR,5
1315,Myanmar,1948,MMR,0
1469,Myanmar,1989,MMR,5
1470,Myanmar,1990,MMR,5
1474,Myanmar,1995,MMR,5
1475,Myanmar,1997,MMR,5
1491,Myanmar,1993,MMR,5
1510,Myanmar,2009,MMR,5
32,Serbia,1998,SRB,1
33,Serbia,1999,SRB,2
1831,Serbia,1991,SRB,0
228,Yemen,2011,YEM,2
2193,Yemen,1948,YEM,0
2194,Yemen,1962,YEM,0
2195,Yemen,1963,YEM,1
2196,Yemen,1964,YEM,2
2197,Yemen,1965,YEM,3
2198,Yemen,1966,YEM,4
2199,Yemen,1967,YEM,5
2200,Yemen,1968,YEM,5
2201,Yemen,1969,YEM,5
2202,Yemen,1970,YEM,5
2204,Yemen,1980,YEM,1
2205,Yemen,1981,YEM,2
2206,Yemen,1982,YEM,3
2207,Yemen,1994,YEM,0
2208,Yemen,2009,YEM,1
2209,Yemen,2010,YEM,1
2211,Yemen,2012,YEM,3
2212,Yemen,2013,YEM,4
2213,Yemen,2014,YEM,5
132,Yemen,2004,YEM,0
167,Zimbabwe,2008,ZWE,0
2216,Zimbabwe,1967,ZWE,0
2217,Zimbabwe,1968,ZWE,1
2218,Zimbabwe,1973,ZWE,1
2219,Zimbabwe,1974,ZWE,1
2220,Zimbabwe,1975,ZWE,2
2221,Zimbabwe,1976,ZWE,3
2222,Zimbabwe,1977,ZWE,4
2223,Zimbabwe,1978,ZWE,5
2224,Zimbabwe,1979,ZWE,5
